category,handle,sub_category
Society,MEAIndia,Politics
Society,KalamCenter,Politics
Society,AUThackeray,Politics
Society,drharshvardhan,Politics
Society,milinddeora,Politics
Society,SushilModi,Politics
Society,msisodia,Politics
Society,Gen_VKSingh,Politics
Society,ShahnawazBJP,Politics
Society,NMenonRao,Politics
Society,PrakashJavdekar,Politics
Society,mlkhattar,Politics
Society,KTRTRS,Politics
Society,ianuragthakur,Politics
Society,yadavtejashwi,Politics
Society,_YogendraYadav,Politics
Society,JM_Scindia,Politics
Society,swapan55,Politics
Society,pbhushan1,Politics
Society,CMMadhyaPradesh,Politics
Society,varungandhi80,Politics
Society,PawarSpeaks,Politics
Society,MVenkaiahNaidu,Politics
Society,dpradhanbjp,Politics
Society,naqvimukhtar,Politics
Society,BJP4UP,Politics
Society,girirajsinghbjp,Politics
Society,JP_LOKSATTA,Politics
Society,realsarathkumar,Politics
Society,BJP4Gujarat,Politics
Society,PChidambaram_IN,Politics
Society,digvijaya_28,Politics
Society,ajaymaken,Politics
Society,rammadhavbjp,Politics
Society,ysjagan,Politics
Society,KirenRijiju,Politics
Society,mpparimal,Politics
Society,supriya_sule,Politics
Society,sarbanandsonwal,Politics
Society,anandibenpatel,Politics
Society,HardikPatel_,Politics
Society,RajivPratapRudy,Politics
Society,ManojTiwariMP,Politics
Society,rssurjewala,Politics
Society,poonam_mahajan,Politics
Society,KapilMishra_IND,Politics
Society,ahmedpatel,Politics
Society,trsharish,Politics
Society,SanjayAzadSln,Politics
Society,priyankac19,Politics
Society,naralokesh,Politics
Society,PandaJay,Politics
Society,SachinPilot,Politics
Society,VijayGoelBJP,Politics
Society,AmitShahOffice,Politics
Society,capt_amarinder,Politics
Society,asadowaisi,Politics
Society,PiyushGoyalOffc,Politics
Society,IYC,Politics
Society,ashokgehlot51,Politics
Society,byadavbjp,Politics
Society,sampitroda,Politics
Society,CimGOI,Politics
Society,shaziailmi,Politics
Society,BJPLive,Politics
Society,bishnoikuldeep,Politics
Society,Pankajamunde,Politics
Society,BSYBJP,Politics
Society,AnanthKumar_BJP,Politics
Society,jayantsinha,Politics
Society,DVSBJP,Politics
Society,raghav_chadha,Politics
Society,JPNadda,Politics
Society,umasribharti,Politics
Society,YSRCParty,Politics
Society,EknathKhadseBJP,Politics
Society,DrJitendraSingh,Politics
Society,MPNaveenJindal,Politics
Society,janlokpal,Politics
Society,bjpsamvad,Politics
Society,irvpaswan,Politics
Society,Manekagandhibjp,Politics
Society,ManishTewari,Politics
Society,ShuklaRajiv,Politics
Society,rajeev_mp,Politics
Society,PankajPachauri,Politics
Society,mkatju,Politics
Society,JaiTDP,Politics
Society,kanhaiyakumar,Politics
Society,BJP4Karnataka,Politics
Society,AjitPawarSpeaks,Politics
Society,DeependerSHooda,Politics
Society,KalrajMishra,Politics
Society,siddaramaiah,Politics
Society,JAnbazhagan,Politics
Society,PMuralidharRao,Politics
Society,buzzindelhi,Politics
Society,ShivSena,Politics
Society,TheRahulMahajan,Politics
Society,dhananjay_munde,Politics
Society,prithvrj,Politics
Society,ShelarAshish,Politics
Society,BJP4Maharashtra,Politics
Society,meerasanyal,Politics
Society,INCGujarat,Politics
Society,OfficeOfKNath,Politics
Society,praful_patel,Politics
Society,BJP4Himachal,Politics
Society,Interceptors,Politics
Society,krishnabgowda,Politics
Society,aniljaindr,Politics
Society,yuvadesh,Politics
Society,IndiaBTL,Politics
Society,INCKarnataka,Politics
Society,SheilaDikshit,Politics
Society,gsurya,Politics
Society,BJP4Haryana,Politics
Society,Pawar_Sharad,Politics
Society,shahbazsharif,Politics
Society,BJP4Andhra,Politics
Society,AshokChandnaINC,Politics
Society,RajivKumar1,Politics
Society,chalil,Politics
Society,srivarungandhi,Politics
Society,ashishsood_bjp,Politics
Society,SatyaPalJain,Politics
Society,mlanaharis,Politics
Society,J_Ubermensch,Politics
Society,ysrcongofficial,Politics
Society,KShivramBJP,Politics
Entertainment,MyVoteToday,Apps
Entertainment,gaana,Apps
Entertainment,Olacabs,Apps
Entertainment,MobiKwik,Apps
Entertainment,LBBIndia,Apps
Entertainment,ola_supports,Apps
Entertainment,inshorts,Apps
Entertainment,JioMusicHD,Apps
Entertainment,Grofers,Apps
Entertainment,WynkMusic,Apps
Entertainment,Viber_India,Apps
Entertainment,WeChatIndia,Apps
Entertainment,BobbleKeyboard,Apps
Entertainment,DailyhuntApp,Apps
Entertainment,TapzoApp,Apps
Entertainment,REVESystems,Apps
Entertainment,traveltriangle,Apps
Entertainment,OyeHelp,Apps
Entertainment,SachinSagaGame,Apps
Entertainment,Musejam,Apps
Entertainment,freshserviceapp,Apps
Entertainment,lookupHQ,Apps
Entertainment,Dexetra,Apps
Entertainment,contus,Apps
Entertainment,iXtentia,Apps
Entertainment,Nodd_App,Apps
Entertainment,seenpick,Apps
Entertainment,zootyup,Apps
Entertainment,HocalWire,Apps
Entertainment,he_poccare,Apps
Entertainment,UnderDOGSPlay,Apps
Entertainment,WowLabz,Apps
Entertainment,EasyTaxi_IN,Apps
Entertainment,BeLive_mobi,Apps
Entertainment,MehfilMastee,Apps
Entertainment,360SecurityInd,Apps
Entertainment,PikiPoll,Apps
Entertainment,ClozerrApp,Apps
Entertainment,Happ_India,Apps
Entertainment,lonelyplanet_in,Books
Entertainment,HarperCollinsIN,Books
Entertainment,PearsonIN,Books
Entertainment,WileyIndiaPL,Books
Entertainment,TheSerialDieter,Books
Entertainment,gujaratilexicon,Books
Entertainment,RajeevMasand,Broadcast Show
Entertainment,satyamevjayate,Broadcast Show
Entertainment,BiggBoss,Broadcast Show
Entertainment,SalamNewsChanel,Broadcast Show
Entertainment,MTVRoadies,Broadcast Show
Entertainment,comedynightsK9,Broadcast Show
Entertainment,KuisANTV,Broadcast Show
Entertainment,KBCsony,Broadcast Show
Entertainment,NETComedyNight,Broadcast Show
Entertainment,canvaslaughclub,Broadcast Show
Entertainment,cokestudioind,Broadcast Show
Entertainment,TMKOC_NTF,Broadcast Show
Entertainment,TVFPitchers,Broadcast Show
Entertainment,IGTonColors,Broadcast Show
Entertainment,VoiceIndiaKids,Broadcast Show
Entertainment,KasamOnColors_,Broadcast Show
Entertainment,Girliyapa,Broadcast Show
Entertainment,boxcricleague,Broadcast Show
Entertainment,TheScreenPatti,Broadcast Show
Entertainment,SudeepArmy,Broadcast Show
Entertainment,kbc6india,Broadcast Show
Entertainment,Epicgrams,Broadcast Show
Entertainment,1800_style,Broadcast Show
Entertainment,ShaheerS_SomyaS,Broadcast Show
Entertainment,KofeeWithKaran,Broadcast Show
Entertainment,CNNNEWS18SPORTS,Broadcast Show
Entertainment,FundaCurry,Broadcast Show
Entertainment,Dream11,Computer Game
Entertainment,GoJiyoRocks,Computer Game
Entertainment,SunburnFestival,Event
Entertainment,LakmeFashionWk,Event
Entertainment,Vh1Supersonic,Event
Entertainment,ZEEJLF,Event
Entertainment,ComicConIndia,Event
Entertainment,ZeeCineAwards,Event
Entertainment,MTVBollyland,Event
Entertainment,StormFestival,Event
Entertainment,mahindrablues,Event
Entertainment,SwachSurvekshan,Event
Entertainment,TimesLitFest,Event
Entertainment,techkriti_iitk,Event
Entertainment,bpft2018,Event
Entertainment,DubaiPrptyShow,Event
Entertainment,TTFIndia,Event
Entertainment,BollyBoomIndia,Event
Entertainment,MakerFestMJFF,Event
Entertainment,alcheringaiitg,Event
Entertainment,OTMIndia,Event
Entertainment,ccchucklefest,Event
Entertainment,ISBdigisummit,Event
Entertainment,ArogyaFair,Event
Entertainment,GOSF_2014,Event
Entertainment,PMConf2013,Event
Entertainment,eatplaylove16,Event
Entertainment,Zoozoos,Fictional Character
Entertainment,DharmaMovies,Film Industry
Entertainment,yrf,Film Industry
Entertainment,tipsofficial,Film Industry
Entertainment,utvfilms,Film Industry
Entertainment,ErosNow,Film Industry
Entertainment,StarMoviesIndia,Film Industry
Entertainment,BaahubaliMovie,Film Industry
Entertainment,SVFsocial,Film Industry
Entertainment,RedChilliesEnt,Film Industry
Entertainment,IIFA,Film Industry
Entertainment,rajshri,Film Industry
Entertainment,HNY,Film Industry
Entertainment,sunpictures,Film Industry
Entertainment,foxstarhindi,Film Industry
Entertainment,RaeesTheFilm,Film Industry
Entertainment,warnerbrosindia,Film Industry
Entertainment,_PVRCinemas,Film Industry
Entertainment,FanTheFilm,Film Industry
Entertainment,INOXMovies,Film Industry
Entertainment,SonyPicsIndia,Film Industry
Entertainment,ChennaiExp2013,Film Industry
Entertainment,misslovelyfilm,Film Industry
Entertainment,FilmKRAFTfilms,Film Industry
Entertainment,SultanTheMovie,Film Industry
Entertainment,balajimotionpic,Film Industry
Entertainment,BBThisEid,Film Industry
Entertainment,cypplOfficial,Film Industry
Entertainment,Viacom18Movies,Film Industry
Entertainment,IndiaCinepolis,Film Industry
Entertainment,ArreTweets,Film Industry
Entertainment,UMusicIndia,Film Industry
Entertainment,JTHJTheFilm,Film Industry
Entertainment,Dhoom3TheMovie,Film Industry
Entertainment,PicturesPVR,Film Industry
Entertainment,excelmovies,Film Industry
Entertainment,ABCD2Film,Film Industry
Entertainment,disneyfilmindia,Film Industry
Entertainment,Y_films,Film Industry
Entertainment,Prime_Focus,Film Industry
Entertainment,LargeShortFilms,Film Industry
Entertainment,TheFilmPink,Film Industry
Entertainment,ParamountPicsIN,Film Industry
Entertainment,SarbjitMovie,Film Industry
Entertainment,BMBThefilm,Film Industry
Entertainment,ShemarooEnt,Film Industry
Entertainment,UniversalIND,Film Industry
Entertainment,AsianCinemas_,Film Industry
Entertainment,Bullett_Raja,Film Industry
Entertainment,GTPMOfficial,Film Industry
Entertainment,MuktaA2Cinemas,Film Industry
Entertainment,VisheshFilms,Film Industry
Entertainment,OUATIMAOfficial,Film Industry
Entertainment,BesharamFilm,Film Industry
Entertainment,SVFCinemas,Film Industry
Entertainment,TheInboxOffice,Film Industry
Entertainment,AumAnimation,Film Industry
Entertainment,ESquarecinemas,Film Industry
Entertainment,MontageProd2,Film Industry
Entertainment,TSeries,Music Industry
Entertainment,SonyMusicSouth,Music Industry
Entertainment,theblueFROG,Music Industry
Entertainment,Submergemusic,Music Industry
Entertainment,sonymusicindia,Music Industry
Entertainment,yellownredmusic,Music Industry
Entertainment,SonyMusicIn,Music Industry
Entertainment,SVFMusic,Music Industry
Entertainment,HRMusikLimited,Music Industry
Entertainment,yrfmusic,Music Industry
Entertainment,AllIndiaBakchod,Online Show
Entertainment,one_by_two,Online Show
Entertainment,Bhuvan_Bam,Online Show
Entertainment,EastIndiaComedy,Online Show
Entertainment,KananGill,Online Show
Entertainment,geekyranjit,Online Show
Entertainment,SnGComedyIN,Online Show
Entertainment,itsVasant,Online Show
Entertainment,Beingind,Online Show
Entertainment,technicalgruji,Online Show
Entertainment,gauravgera,Online Show
Entertainment,TheChuChuTV,Online Show
Brands,oyorooms,Accomodation
Brands,OberoiHotels,Accomodation
Brands,ITCHotels,Accomodation
Brands,katriyahotels,Accomodation
Brands,stayatginger,Accomodation
Brands,TheLalitGroup,Accomodation
Brands,tajpalacedelhi,Accomodation
Brands,JWMarriottJuhu,Accomodation
Brands,TridentHotels,Accomodation
Brands,parkhotelsindia,Accomodation
Brands,FSMumbai,Accomodation
Brands,TheLeelaHotels,Accomodation
Brands,JWMarriottPune,Accomodation
Brands,ZostelHostel,Accomodation
Brands,GrandHyattMum,Accomodation
Brands,stregismumbai,Accomodation
Brands,TheTamara_Coorg,Accomodation
Brands,TajMahalHotel,Accomodation
Brands,ITCHotelsCares,Accomodation
Brands,westinpune,Accomodation
Brands,ITCGrandChola,Accomodation
Brands,InterConMD,Accomodation
Brands,OberoiNewDelhi,Accomodation
Brands,ParkHyattGoa,Accomodation
Brands,TheGatewayHotel,Accomodation
Brands,TridentBKC,Accomodation
Brands,SofitelMumbai,Accomodation
Brands,HyattPune,Accomodation
Brands,TridentGurgaon,Accomodation
Brands,HyattRegencyPNQ,Accomodation
Brands,GHGoa,Accomodation
Brands,Fortune_Hotels,Accomodation
Brands,TajWestEnd,Accomodation
Brands,TajSafaris,Accomodation
Brands,HyattRegencyDel,Accomodation
Brands,RenaissanceMum,Accomodation
Brands,HolidayInnMV,Accomodation
Brands,IndyMarriottDT,Accomodation
Brands,Royal_Orchid,Accomodation
Brands,CrownePlazaMV,Accomodation
Brands,JWMarriottDelhi,Accomodation
Brands,LemonTreeHotels,Accomodation
Brands,ParkHyattHyd,Accomodation
Brands,TheWestinMumbai,Accomodation
Brands,Hotel_Sarovar,Accomodation
Brands,LeMeridienND,Accomodation
Brands,WestinGurgaonND,Accomodation
Brands,NovotelHyd,Accomodation
Brands,CourtyardChakan,Accomodation
Brands,LeMeridienMum,Accomodation
Brands,AlilaDiwaGoa,Accomodation
Brands,AnandaSpa,Accomodation
Brands,HyattHyderabad,Accomodation
Brands,WELCOMHERITAGE,Accomodation
Brands,ShangrilaNewDel,Accomodation
Brands,Radisson_Kol,Accomodation
Brands,FourPointsPune,Accomodation
Brands,LMGurgaon,Accomodation
Brands,DoubletreePune,Accomodation
Brands,RadissonBLU_HYD,Accomodation
Brands,SheratonPune,Accomodation
Brands,TheRoseate,Accomodation
Brands,Swissotel_SKO,Accomodation
Brands,thewestinhyd,Accomodation
Brands,FPBSJaipur,Accomodation
Brands,GokulamGrandBlr,Accomodation
Brands,IsobarIndia,Accomodation
Brands,CrownePlazaGGM,Accomodation
Brands,LeMeridienKochi,Accomodation
Brands,FPBSVizag,Accomodation
Brands,HI_cochin,Accomodation
Brands,keyshotels,Accomodation
Brands,thehosteller,Accomodation
